IQ-TREE multicore version 2.0.7 for Linux 64-bit built Mar 25 2024
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    vika (AVX2, FMA3, 15 GB RAM)
Command: iqtree2 -s output4.fa --redo
Seed:    831053 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Nov 12 12:25:21 2024
Kernel:  AVX+FMA - 1 threads (8 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 8 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file output4.fa ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
Alignment has 20 sequences with 57 columns, 20 distinct patterns
6 parsimony-informative, 10 singleton sites, 41 constant sites
                         Gap/Ambiguity  Composition  p-value
   1  uc001ggs.5_hg38_4_13       0.00%    passed     99.51%
   2  uc001ggs.5_panTro4_4_13    0.00%    passed     99.51%
   3  uc001ggs.5_panPan1_4_13    0.00%    passed     99.51%
   4  uc001ggs.5_gorGor3_4_13    0.00%    passed     99.51%
   5  uc001ggs.5_ponAbe2_4_13    0.00%    passed     99.51%
   6  uc001ggs.5_nomLeu3_4_13    0.00%    passed     99.51%
   7  uc001ggs.5_rheMac3_4_13    0.00%    passed     99.83%
   8  uc001ggs.5_macFas5_4_13    0.00%    passed     99.83%
   9  uc001ggs.5_papAnu2_4_13    0.00%    passed     98.12%
  10  uc001ggs.5_chlSab2_4_13    0.00%    passed     99.83%
  11  uc001ggs.5_nasLar1_4_13    0.00%    passed     96.61%
  12  uc001ggs.5_rhiRox1_4_13    0.00%    passed     96.61%
  13  uc001ggs.5_calJac3_4_13    0.00%    passed     98.92%
  14  uc001ggs.5_saiBol1_4_13    0.00%    passed     99.51%
  15  uc001ggs.5_tarSyr2_4_13    0.00%    passed     98.92%
  16  uc001ggs.5_micMur1_4_13    0.00%    passed     96.30%
  17  uc001ggs.5_otoGar3_4_13    0.00%    passed     95.33%
  18  uc001ggs.5_tupBel1_4_13    0.00%    passed     66.47%
  19  uc001ggs.5_mm10_4_13       0.00%    passed     98.12%
  20  uc001ggs.5_canFam3_4_13    0.00%    passed     98.92%
****  TOTAL                      0.00%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: uc001ggs.5_panTro4_4_13 is identical to uc001ggs.5_hg38_4_13 but kept for subsequent analysis
NOTE: uc001ggs.5_macFas5_4_13 is identical to uc001ggs.5_rheMac3_4_13 but kept for subsequent analysis
NOTE: uc001ggs.5_rhiRox1_4_13 is identical to uc001ggs.5_nasLar1_4_13 but kept for subsequent analysis
NOTE: uc001ggs.5_tarSyr2_4_13 is identical to uc001ggs.5_calJac3_4_13 but kept for subsequent analysis
NOTE: 6 identical sequences (see below) will be ignored for subsequent analysis
NOTE: uc001ggs.5_panPan1_4_13 (identical to uc001ggs.5_hg38_4_13) is ignored but added at the end
NOTE: uc001ggs.5_gorGor3_4_13 (identical to uc001ggs.5_hg38_4_13) is ignored but added at the end
NOTE: uc001ggs.5_ponAbe2_4_13 (identical to uc001ggs.5_hg38_4_13) is ignored but added at the end
NOTE: uc001ggs.5_nomLeu3_4_13 (identical to uc001ggs.5_hg38_4_13) is ignored but added at the end
NOTE: uc001ggs.5_chlSab2_4_13 (identical to uc001ggs.5_rheMac3_4_13) is ignored but added at the end
NOTE: uc001ggs.5_canFam3_4_13 (identical to uc001ggs.5_calJac3_4_13) is ignored but added at the end
Alignment was printed to output4.fa.uniqueseq.phy

For your convenience alignment with unique sequences printed to output4.fa.uniqueseq.phy


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -172.705
Optimal log-likelihood: -172.327
Rate parameters:  A-C: 2.30704  A-G: 27.18104  A-T: 0.00010  C-G: 2.19421  C-T: 17.83767  G-T: 1.00000
Base frequencies:  A: 0.291  C: 0.243  G: 0.217  T: 0.249
Proportion of invariable sites: 0.349
Gamma shape alpha: 2.578
Parameters optimization took 1 rounds (0.002 sec)
Time for fast ML tree search: 0.010 seconds

NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test up to 286 DNA models (sample size: 57) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  GTR+F         173.381      33  412.761      510.326      480.182
  2  GTR+F+I       172.387      34  412.773      520.955      482.237
  3  GTR+F+G4      172.212      34  412.424      520.606      481.888
  4  GTR+F+I+G4    172.294      35  414.588      534.588      486.095
  5  GTR+F+R2      172.440      35  414.879      534.879      486.386
  6  GTR+F+R3      172.218      37  418.437      566.437      494.030
 14  SYM           173.584      30  407.167      478.706      468.459
 15  SYM+I         172.485      31  406.969      486.329      470.304
 16  SYM+G4        172.328      31  406.655      486.015      469.990
 17  SYM+I+G4      172.408      32  408.816      496.816      474.194
 18  SYM+R2        172.600      32  409.201      497.201      474.579
 27  TVM+F         173.744      32  411.488      499.488      476.865
 28  TVM+F+I       172.576      33  411.152      508.717      478.573
 29  TVM+F+G4      172.465      33  410.929      508.495      478.350
 30  TVM+F+I+G4    172.511      34  413.022      521.204      482.486
 31  TVM+F+R2      172.743      34  413.486      521.668      482.950
 40  TVMe          173.987      29  405.975      470.419      465.223
 41  TVMe+I        172.596      30  405.192      476.730      466.483
 42  TVMe+G4       172.604      30  405.208      476.747      466.500
 43  TVMe+I+G4     172.639      31  407.278      486.638      470.613
 44  TVMe+R2       172.907      31  407.813      487.173      471.148
 53  TIM3+F        173.866      31  409.733      489.093      473.067
 54  TIM3+F+I      172.920      32  409.840      497.840      475.218
 55  TIM3+F+G4     172.753      32  409.506      497.506      474.884
 56  TIM3+F+I+G4   172.813      33  411.627      509.192      479.047
 57  TIM3+F+R2     172.933      33  411.867      509.432      479.288
 66  TIM3e         174.044      28  404.088      462.088      461.293
 67  TIM3e+I       172.977      29  403.953      468.398      463.202
 68  TIM3e+G4      172.836      29  403.673      468.117      462.921
 69  TIM3e+I+G4    172.885      30  405.770      477.308      467.061
 70  TIM3e+R2      173.074      30  406.147      477.686      467.439
 79  TIM2+F        173.760      31  409.520      488.880      472.855
 80  TIM2+F+I      172.940      32  409.880      497.880      475.258
 81  TIM2+F+G4     172.754      32  409.508      497.508      474.885
 82  TIM2+F+I+G4   172.831      33  411.662      509.228      479.083
 83  TIM2+F+R2     172.905      33  411.811      509.376      479.232
 92  TIM2e         174.013      28  404.027      462.027      461.232
 93  TIM2e+I       173.077      29  404.155      468.599      463.403
 94  TIM2e+G4      172.927      29  403.854      468.298      463.102
 95  TIM2e+I+G4    172.984      30  405.969      477.507      467.260
 96  TIM2e+R2      173.119      30  406.239      477.777      467.530
105  TIM+F         173.782      31  409.565      488.925      472.899
106  TIM+F+I       172.749      32  409.499      497.499      474.876
107  TIM+F+G4      172.643      32  409.287      497.287      474.664
108  TIM+F+I+G4    172.676      33  411.353      508.918      478.773
109  TIM+F+R2      172.825      33  411.650      509.215      479.071
118  TIMe          173.970      28  403.940      461.940      461.146
119  TIMe+I        172.844      29  403.688      468.132      462.936
120  TIMe+G4       172.751      29  403.501      467.946      462.750
121  TIMe+I+G4     172.783      30  405.565      477.104      466.857
122  TIMe+R2       172.989      30  405.978      477.517      467.270
131  TPM3u+F       174.271      30  408.543      480.081      469.834
132  TPM3u+F+I     173.122      31  408.243      487.603      471.578
133  TPM3u+F+G4    173.025      31  408.051      487.411      471.386
134  TPM3u+F+I+G4  173.047      32  410.093      498.093      475.471
135  TPM3u+F+R2    173.240      32  410.480      498.480      475.858
144  TPM3+F        174.271      30  408.543      480.081      469.834
145  TPM3+F+I      173.122      31  408.243      487.603      471.578
146  TPM3+F+G4     173.025      31  408.051      487.411      471.386
147  TPM3+F+I+G4   173.047      32  410.093      498.093      475.471
148  TPM3+F+R2     173.240      32  410.480      498.480      475.858
157  TPM2u+F       174.156      30  408.313      479.851      469.604
